INNER LONDON	OUTER LONDON	NORTH EAST	NORTH WEST	YORKS & THE HUMBER	EAST MIDLANDS	WEST MIDLANDS	EAST OF ENGLAND	LONDON	SOUTH EAST	SOUTH WEST	ENGLAND
63.3	70.8	102.4	96.3	97.5	88.8	92.3	82.3	69.4	82.3	88.5	86
64.6	71.6	104.1	97.8	97.5	90.8	92.9	82.4	69.2	82.1	88.8	86.4
65.7	72.3	105.1	96.5	97.5	89.7	92.4	82.4	69.6	81.8	88.5	86.2
65.9	72.5	105.3	98.6	98.7	90.7	94	83.7	70	82.4	89.5	87.2
66	72.8	104.9	98.7	99	92.3	94.2	84.1	69.9	83.2	90.4	87.6
66.6	72.9	105.5	99	99.4	92.5	95	83.9	70.6	83.8	90.8	88.1
67.5	73.8	105.3	98.5	100.8	93	95.2	85.4	72.7	84.8	91.4	89
68.2	74.6	107.7	99.8	100.5	93.7	94.9	85	72.1	84.6	92.1	89.1
68.3	75.3	104.3	98.7	99.5	92.5	95.8	85.5	72	84.8	92	88.8
67.5	74.9	106.5	97.9	97.7	91.8	94	84.1	71	83.6	91.2	87.8
66.6	74.4	102.7	96.4	96.6	91.1	94	83.8	70.1	83	90	86.9
66.3	73.9	102.2	96.5	97.4	90.5	93.6	83.4	70.8	82.6	89.1	86.8
66.7	74	100	95.5	94.7	88.8	92.3	83	71.5	81.8	88.8	86
67.2	73.9	99.7	94.8	96.1	89.3	91.1	82	70.8	82	88.2	85.7
67.8	73.7	98.8	93.9	93.8	88.8	90.2	82.6	71.3	81.5	88.1	85.3
69.1	73.7	101.9	95.2	96.8	89.2	91.7	83	73	82.4	88.4	86.5
68.9	73.8	102.4	94.6	96.7	89.5	91.8	83.1	70.7	82.5	88	86.1
68.8	73.7	102.1	94.4	95.7	89.7	91.9	82.8	71	82.8	89	86.2
68.7	74	100.4	95.8	96.3	91.1	92.1	84	73.4	83.8	89.8	87.3
70.2	74.3	99.8	96.5	97.2	91.5	92.1	84.4	73.2	83.2	90.2	87.4
70.9	75.2	100.1	95.9	96.6	90.4	93.1	83.6	73.3	83.5	89	87.1
70.3	75.2	99.2	95.3	94.9	89.5	91.3	83.6	72.6	82.4	89.1	86.4
69.8	75	99.9	93.6	95.4	89.7	91.9	83.9	72.2	83	88.8	86.4
